Ano,Tipo de Mapa,Original
2004,Entrada e Saída,Modelo de Entrada e Saída.
2004,Hierárquico,Hierárquico
2004,Não mencionado,Não menciona
2004,Hierárquico,Hierárquico
2004,Fluxograma,Fluxograma
2004,Hierárquico,Hierárquico
2004,Não mencionado,Não menciona
2004,Diversos,Diversos/Novidade MC Tridimensionais
2004,Fluxograma,Fluxograma
2004,Hierárquico,Hierárquico
2004,Não mencionado,Não apresenta nenhum MC no trabalho
2004,Mapa cognitivo,Apresenta mapas cognitivos
2004,Hierárquico,hierárquico
2004,Fluxograma,Fluxograma
2004,Não mencionado,Não apresenta.
2004,Hierárquico,Hierárquico
2004,Não mencionado,Não apresenta.
2004,Hierárquico,Hierárquico
2004,Fluxograma,Fluxograma
2004,Hierárquico,hieráquico 
2004,Fluxograma,Fluxograma
2004,Diversos,diversos: fluxograma; hierárquico
2004,Hierárquico,Hierárquico
2004,Hierárquico,Hierárquico
2004,Hierárquico,Hierárquico. MC apresentam imagens e caixas de texto. 
2006,Hierárquico,Hierárquico
2006,Hierárquico,Hierárquicos
2006,Hierárquico,Hierárquicos
2006,Hierárquico,Hieráquicos
2006,Hierárquico,Hierárquico
2006,Hierárquico,hierárquico
2006,Hierárquico,hierárquico
2006,Teia de Aranha??,Teia de Aranha??
2006,Hierárquico,Hierárquico
2006,Hierárquico,Hierárquico
2006,Hierárquico,Hierárquico
2006,Hierárquico,Hierárquico
2006,Hierárquico,Hierárquico
2006,Hierárquico,Hierárquico
2008,Entrada e Saída,Entrada e Saída
2008,Hierárquico,Hierárquico
2008,Hierárquico,Hierárquico
2008,Hierárquico,Hierárquico
2008,Entrada e Saída,Entrada e saída
2008,Não mencionado,não mencionado
2008,Fluxograma,Fluxograma
2008,Diversos,Diversos
2008,Fluxograma,Fluxograma
2008,Hierárquico,Hierarquia
2008,Redes,Redes
2008,Fluxograma,Fluxograma
2008,Não mencionado,não mencionado 
2008,Fluxograma,Fluxograma
2008,Não mencionado,não mencionado 
2008,Entrada e Saída,Entrada e Saída
2008,Hierárquico e Ramificado,Hierárquico e Ramificado 
2008,Hierárquico,Hierárquico
2008,Hierárquico,Hierárquico
2008,Fluxograma,Fluxograma (maioria)
2008,Não mencionado,Não menciona
2008,Não mencionado,Não menciona
2008,Entrada e Saída,Entrada e Saída
2008,Hierárquico,Hierárquico
2008,Hierárquico,Hierárquico
2008,Diversos,Diversos
